number,src,dst,size,clean_size,date,time
76,121.245.77.178,192.168.1.133,175,66,2015-08-27,13:06:14.262270
77,192.168.1.133,121.245.77.178,66,66,2015-08-27,13:06:14.262606
78,121.245.77.178,192.168.1.133,304,42,2015-08-27,13:06:14.262712
79,121.245.77.178,192.168.1.133,279,42,2015-08-27,13:06:14.263196
80,121.245.77.178,192.168.1.133,173,42,2015-08-27,13:06:14.263387
81,121.245.77.178,192.168.1.133,339,42,2015-08-27,13:06:14.298814
82,117.194.19.223,192.168.1.133,89,66,2015-08-27,13:06:14.401543
83,192.168.1.133,117.194.19.223,66,66,2015-08-27,13:06:14.401968
84,114.183.172.168,192.168.1.133,89,66,2015-08-27,13:06:14.402082
85,192.168.1.133,114.183.172.168,66,66,2015-08-27,13:06:14.402293
86,123.204.153.59,192.168.1.133,89,66,2015-08-27,13:06:14.402427
87,192.168.1.133,123.204.153.59,66,66,2015-08-27,13:06:14.402635
88,59.115.53.47,192.168.1.133,89,66,2015-08-27,13:06:14.402767
89,192.168.1.133,59.115.53.47,66,66,2015-08-27,13:06:14.402973
90,192.168.1.133,117.194.19.223,99,42,2015-08-27,13:06:14.461305
91,192.168.1.133,117.194.19.223,96,42,2015-08-27,13:06:14.481360
92,192.168.1.133,117.194.19.223,99,42,2015-08-27,13:06:14.501372
93,192.168.1.133,121.245.77.178,89,66,2015-08-27,13:06:14.504495
94,192.168.1.133,117.194.19.223,89,66,2015-08-27,13:06:14.504591
95,192.168.1.133,123.204.153.59,89,66,2015-08-27,13:06:14.504654
96,192.168.1.133,114.183.172.168,89,66,2015-08-27,13:06:14.504708
97,192.168.1.133,59.115.53.47,89,66,2015-08-27,13:06:14.504759
98,192.168.1.133,117.194.19.223,94,42,2015-08-27,13:06:14.521539
99,192.168.1.133,117.194.19.223,85,42,2015-08-27,13:06:14.541671
100,192.168.1.133,117.194.19.223,87,42,2015-08-27,13:06:14.561525
101,192.168.1.133,117.194.19.223,85,42,2015-08-27,13:06:14.581784
102,192.168.1.133,117.194.19.223,87,42,2015-08-27,13:06:14.601700
103,117.194.19.223,192.168.1.133,80,66,2015-08-27,13:06:14.801105
104,192.168.1.133,117.194.19.223,66,66,2015-08-27,13:06:14.801329
105,121.245.77.178,192.168.1.133,293,42,2015-08-27,13:06:14.857034
106,121.245.77.178,192.168.1.133,124,42,2015-08-27,13:06:14.857164
107,121.245.77.178,192.168.1.133,216,42,2015-08-27,13:06:14.857202
108,121.245.77.178,192.168.1.133,134,42,2015-08-27,13:06:14.857235
109,192.168.1.133,117.194.19.223,74,42,2015-08-27,13:06:14.961476
110,192.168.1.133,117.194.19.223,91,42,2015-08-27,13:06:15.021517
111,121.245.77.178,192.168.1.133,188,42,2015-08-27,13:06:15.151049
112,121.245.77.178,192.168.1.133,386,42,2015-08-27,13:06:15.151183
113,121.245.77.178,192.168.1.133,326,42,2015-08-27,13:06:15.151216
114,121.245.77.178,192.168.1.133,177,42,2015-08-27,13:06:15.151248
115,121.245.77.178,192.168.1.133,306,42,2015-08-27,13:06:15.151277
116,121.245.77.178,192.168.1.133,234,42,2015-08-27,13:06:15.151305
117,121.245.77.178,192.168.1.133,115,42,2015-08-27,13:06:15.151335
118,121.245.77.178,192.168.1.133,230,42,2015-08-27,13:06:15.151363
119,121.245.77.178,192.168.1.133,112,42,2015-08-27,13:06:15.151390
120,121.245.77.178,192.168.1.133,275,42,2015-08-27,13:06:15.151417
121,121.245.77.178,192.168.1.133,339,42,2015-08-27,13:06:15.151452
122,121.245.77.178,192.168.1.133,111,42,2015-08-27,13:06:15.151483
123,121.245.77.178,192.168.1.133,289,42,2015-08-27,13:06:15.151511
124,121.245.77.178,192.168.1.133,162,42,2015-08-27,13:06:15.151538
125,121.245.77.178,192.168.1.133,324,42,2015-08-27,13:06:15.151565
126,121.245.77.178,192.168.1.133,300,42,2015-08-27,13:06:15.151595
127,121.245.77.178,192.168.1.133,167,42,2015-08-27,13:06:15.151622
128,121.245.77.178,192.168.1.133,272,42,2015-08-27,13:06:15.151650
129,121.245.77.178,192.168.1.133,171,42,2015-08-27,13:06:15.151677
130,121.245.77.178,192.168.1.133,304,42,2015-08-27,13:06:15.151705
131,121.245.77.178,192.168.1.133,176,42,2015-08-27,13:06:15.151734
132,121.245.77.178,192.168.1.133,282,42,2015-08-27,13:06:15.151761
133,121.245.77.178,192.168.1.133,146,42,2015-08-27,13:06:15.151788
134,121.245.77.178,192.168.1.133,278,42,2015-08-27,13:06:15.151815
135,121.245.77.178,192.168.1.133,161,42,2015-08-27,13:06:15.151843
136,121.245.77.178,192.168.1.133,270,42,2015-08-27,13:06:15.151875
137,121.245.77.178,192.168.1.133,280,42,2015-08-27,13:06:15.151903
138,121.245.77.178,192.168.1.133,140,42,2015-08-27,13:06:15.151931
141,192.168.1.133,117.194.19.223,82,42,2015-08-27,13:06:15.152712
142,192.168.1.133,117.194.19.223,116,42,2015-08-27,13:06:15.357946
143,192.168.1.133,117.194.19.223,101,42,2015-08-27,13:06:15.443911
144,121.245.77.178,192.168.1.133,268,42,2015-08-27,13:06:15.471171
145,121.245.77.178,192.168.1.133,250,42,2015-08-27,13:06:15.471727
146,121.245.77.178,192.168.1.133,122,42,2015-08-27,13:06:15.471773
147,121.245.77.178,192.168.1.133,249,42,2015-08-27,13:06:15.471807
148,121.245.77.178,192.168.1.133,158,42,2015-08-27,13:06:15.471842
149,121.245.77.178,192.168.1.133,265,42,2015-08-27,13:06:15.471875
150,121.245.77.178,192.168.1.133,200,42,2015-08-27,13:06:15.471906
151,121.245.77.178,192.168.1.133,349,42,2015-08-27,13:06:15.471937
152,121.245.77.178,192.168.1.133,296,42,2015-08-27,13:06:15.471972
153,192.168.1.133,157.56.116.206,71,66,2015-08-27,13:06:15.477028
154,127.0.0.1,127.0.0.1,43,42,2015-08-27,13:06:15.477281
155,192.168.1.133,157.55.56.154,992,66,2015-08-27,13:06:15.478888
156,192.168.1.133,117.194.19.223,93,42,2015-08-27,13:06:15.584352
157,59.115.53.47,192.168.1.133,66,66,2015-08-27,13:06:15.601415
158,114.183.172.168,192.168.1.133,66,66,2015-08-27,13:06:15.602103
159,192.168.1.133,117.194.19.223,88,42,2015-08-27,13:06:15.605553
160,192.168.1.133,117.194.19.223,88,42,2015-08-27,13:06:15.621466
161,192.168.1.133,117.194.19.223,85,42,2015-08-27,13:06:15.641741
162,192.168.1.133,117.194.19.223,86,42,2015-08-27,13:06:15.661675
163,192.168.1.133,117.194.19.223,87,42,2015-08-27,13:06:15.681631
164,192.168.1.133,121.245.77.178,89,66,2015-08-27,13:06:15.701017
165,192.168.1.133,117.194.19.223,84,42,2015-08-27,13:06:15.701346
166,121.245.77.178,192.168.1.133,161,42,2015-08-27,13:06:15.811025
167,121.245.77.178,192.168.1.133,320,42,2015-08-27,13:06:15.811145
168,121.245.77.178,192.168.1.133,308,42,2015-08-27,13:06:15.811188
169,121.245.77.178,192.168.1.133,132,42,2015-08-27,13:06:15.811222
170,121.245.77.178,192.168.1.133,229,42,2015-08-27,13:06:15.811258
171,121.245.77.178,192.168.1.133,307,42,2015-08-27,13:06:15.811290
172,121.245.77.178,192.168.1.133,97,42,2015-08-27,13:06:15.811322
173,121.245.77.178,192.168.1.133,295,42,2015-08-27,13:06:15.811361
174,121.245.77.178,192.168.1.133,453,66,2015-08-27,13:06:15.811402
175,192.168.1.133,121.245.77.178,66,66,2015-08-27,13:06:15.811520
176,121.245.77.178,192.168.1.133,112,42,2015-08-27,13:06:15.811567
177,121.245.77.178,192.168.1.133,267,42,2015-08-27,13:06:15.811599
178,121.245.77.178,192.168.1.133,151,42,2015-08-27,13:06:15.811632
179,121.245.77.178,192.168.1.133,318,42,2015-08-27,13:06:15.811664
180,121.245.77.178,192.168.1.133,268,42,2015-08-27,13:06:15.811698
181,121.245.77.178,192.168.1.133,172,42,2015-08-27,13:06:15.811731
182,121.245.77.178,192.168.1.133,333,42,2015-08-27,13:06:15.811762
183,121.245.77.178,192.168.1.133,311,42,2015-08-27,13:06:15.811802
184,121.245.77.178,192.168.1.133,207,42,2015-08-27,13:06:15.811835
185,121.245.77.178,192.168.1.133,321,42,2015-08-27,13:06:15.811866
186,121.245.77.178,192.168.1.133,252,42,2015-08-27,13:06:15.811899
187,121.245.77.178,192.168.1.133,124,42,2015-08-27,13:06:15.811938
188,121.245.77.178,192.168.1.133,259,42,2015-08-27,13:06:15.811977
189,192.168.1.133,117.194.19.223,82,42,2015-08-27,13:06:15.817239
190,192.168.1.133,117.194.19.223,69,42,2015-08-27,13:06:15.821296
191,192.168.1.133,10.137.178.29,70,42,2015-08-27,13:06:15.976155
192,192.168.1.133,203.110.246.23,70,42,2015-08-27,13:06:15.976271
193,192.168.1.133,91.190.216.212,211,42,2015-08-27,13:06:15.986716
194,192.168.1.133,91.190.218.212,125,42,2015-08-27,13:06:15.991413
195,121.245.77.178,192.168.1.133,166,42,2015-08-27,13:06:16.110986
196,121.245.77.178,192.168.1.133,275,42,2015-08-27,13:06:16.111078
197,157.55.56.154,192.168.1.133,69,66,2015-08-27,13:06:16.111115
198,121.245.77.178,192.168.1.133,184,66,2015-08-27,13:06:16.111172
199,192.168.1.133,121.245.77.178,70,66,2015-08-27,13:06:16.111262
200,157.55.56.154,192.168.1.133,66,66,2015-08-27,13:06:16.111316
201,192.168.1.133,157.55.56.154,122,66,2015-08-27,13:06:16.111386
202,121.245.77.178,192.168.1.133,316,42,2015-08-27,13:06:16.111403
203,121.245.77.178,192.168.1.133,127,42,2015-08-27,13:06:16.111432
204,121.245.77.178,192.168.1.133,278,42,2015-08-27,13:06:16.111458
205,121.245.77.178,192.168.1.133,252,42,2015-08-27,13:06:16.111485
206,121.245.77.178,192.168.1.133,102,42,2015-08-27,13:06:16.111512
207,121.245.77.178,192.168.1.133,223,42,2015-08-27,13:06:16.111539
208,121.245.77.178,192.168.1.133,137,42,2015-08-27,13:06:16.111566
209,121.245.77.178,192.168.1.133,288,42,2015-08-27,13:06:16.111593
210,121.245.77.178,192.168.1.133,270,42,2015-08-27,13:06:16.111642
211,121.245.77.178,192.168.1.133,169,42,2015-08-27,13:06:16.111667
212,121.245.77.178,192.168.1.133,273,42,2015-08-27,13:06:16.111694
213,121.245.77.178,192.168.1.133,163,42,2015-08-27,13:06:16.111729
214,121.245.77.178,192.168.1.133,268,42,2015-08-27,13:06:16.111763
215,121.245.77.178,192.168.1.133,249,42,2015-08-27,13:06:16.111798
216,121.245.77.178,192.168.1.133,142,42,2015-08-27,13:06:16.111833
217,121.245.77.178,192.168.1.133,270,42,2015-08-27,13:06:16.111867
218,192.168.1.133,117.194.19.223,60,42,2015-08-27,13:06:16.114210
219,192.168.1.133,117.194.19.223,92,42,2015-08-27,13:06:16.120899
220,157.56.116.206,192.168.1.133,71,66,2015-08-27,13:06:16.121021
221,192.168.1.133,157.56.116.206,66,66,2015-08-27,13:06:16.121147
222,121.245.77.178,192.168.1.133,178,42,2015-08-27,13:06:16.253874
223,121.245.77.178,192.168.1.133,268,42,2015-08-27,13:06:16.270001
224,121.245.77.178,192.168.1.133,279,42,2015-08-27,13:06:16.270564
225,121.245.77.178,192.168.1.133,261,42,2015-08-27,13:06:16.270614
226,121.245.77.178,192.168.1.133,108,42,2015-08-27,13:06:16.270643
227,121.245.77.178,192.168.1.133,248,42,2015-08-27,13:06:16.280704
228,121.245.77.178,192.168.1.133,176,66,2015-08-27,13:06:16.280815
229,192.168.1.133,117.194.19.223,89,66,2015-08-27,13:06:16.301016
230,192.168.1.133,121.245.77.178,66,66,2015-08-27,13:06:16.311039
231,192.168.1.133,117.194.19.223,94,42,2015-08-27,13:06:16.327412
232,192.168.1.133,117.194.19.223,102,42,2015-08-27,13:06:16.327594
233,192.168.1.133,117.194.19.223,76,42,2015-08-27,13:06:16.351660
234,121.245.77.178,192.168.1.133,104,42,2015-08-27,13:06:16.419748
235,192.168.1.133,117.194.19.223,123,42,2015-08-27,13:06:16.421362
236,192.168.1.133,117.194.19.223,118,42,2015-08-27,13:06:16.421759
237,121.245.77.178,192.168.1.133,229,42,2015-08-27,13:06:16.426122
238,121.245.77.178,192.168.1.133,271,42,2015-08-27,13:06:16.434634
239,121.245.77.178,192.168.1.133,165,42,2015-08-27,13:06:16.435262
240,121.245.77.178,192.168.1.133,281,42,2015-08-27,13:06:16.461065
241,121.245.77.178,192.168.1.133,165,42,2015-08-27,13:06:16.461162
242,157.55.56.154,192.168.1.133,77,66,2015-08-27,13:06:16.468967
243,192.168.1.133,157.55.56.154,84,66,2015-08-27,13:06:16.469824
244,121.245.77.178,192.168.1.133,301,42,2015-08-27,13:06:16.488290
245,192.168.1.133,117.194.19.223,107,42,2015-08-27,13:06:16.505357
246,192.168.1.133,117.194.19.223,89,42,2015-08-27,13:06:16.542358
247,121.245.77.178,192.168.1.133,277,42,2015-08-27,13:06:16.545620
248,121.245.77.178,192.168.1.133,156,42,2015-08-27,13:06:16.546304
249,121.245.77.178,192.168.1.133,238,42,2015-08-27,13:06:16.577485
250,91.190.216.212,192.168.1.133,60,49,2015-08-27,13:06:16.581303
251,91.190.218.212,192.168.1.133,60,49,2015-08-27,13:06:16.581622
252,192.168.1.133,91.190.216.212,216,42,2015-08-27,13:06:16.581859
253,192.168.1.133,91.190.218.212,130,42,2015-08-27,13:06:16.581965
254,121.245.77.178,192.168.1.133,227,42,2015-08-27,13:06:16.601033
255,121.245.77.178,192.168.1.133,125,42,2015-08-27,13:06:16.601225
256,121.245.77.178,192.168.1.133,253,42,2015-08-27,13:06:16.604459
257,192.168.1.133,117.194.19.223,1329,42,2015-08-27,13:06:16.612537
258,121.245.77.178,192.168.1.133,262,42,2015-08-27,13:06:16.613884
259,121.245.77.178,192.168.1.133,183,42,2015-08-27,13:06:16.614216
260,121.245.77.178,192.168.1.133,185,66,2015-08-27,13:06:16.614693
261,192.168.1.133,121.245.77.178,66,66,2015-08-27,13:06:16.614830
262,121.245.77.178,192.168.1.133,288,42,2015-08-27,13:06:16.649268
263,192.168.1.133,117.194.19.223,80,42,2015-08-27,13:06:16.650056
264,121.245.77.178,192.168.1.133,252,42,2015-08-27,13:06:16.650400
265,121.245.77.178,192.168.1.133,126,42,2015-08-27,13:06:16.650871
266,192.168.1.133,117.194.19.223,1055,42,2015-08-27,13:06:16.715687
267,192.168.1.133,117.194.19.223,93,42,2015-08-27,13:06:16.761535
268,121.245.77.178,192.168.1.133,230,42,2015-08-27,13:06:16.773591
269,192.168.1.133,117.194.19.223,90,42,2015-08-27,13:06:16.781440
270,121.245.77.178,192.168.1.133,137,42,2015-08-27,13:06:16.789277
271,121.245.77.178,192.168.1.133,224,42,2015-08-27,13:06:16.789643
272,192.168.1.133,117.194.19.223,88,42,2015-08-27,13:06:16.803896
273,157.55.56.154,192.168.1.133,74,66,2015-08-27,13:06:16.816878
274,192.168.1.133,117.194.19.223,89,42,2015-08-27,13:06:16.824120
275,121.245.77.178,192.168.1.133,227,42,2015-08-27,13:06:16.834450
276,121.245.77.178,192.168.1.133,164,42,2015-08-27,13:06:16.835242
277,121.245.77.178,192.168.1.133,294,42,2015-08-27,13:06:16.835740
278,121.245.77.178,192.168.1.133,259,42,2015-08-27,13:06:16.836114
279,121.245.77.178,192.168.1.133,144,42,2015-08-27,13:06:16.836463
280,121.245.77.178,192.168.1.133,140,66,2015-08-27,13:06:16.837364
281,192.168.1.133,121.245.77.178,66,66,2015-08-27,13:06:16.837462
282,192.168.1.133,117.194.19.223,94,42,2015-08-27,13:06:16.842463
283,192.168.1.133,157.55.56.154,66,66,2015-08-27,13:06:16.851134
284,192.168.1.133,117.194.19.223,88,42,2015-08-27,13:06:16.861435
285,117.194.19.223,192.168.1.133,66,66,2015-08-27,13:06:16.891092
286,192.168.1.133,117.194.19.223,70,66,2015-08-27,13:06:16.891242
287,192.168.1.133,117.194.19.223,1313,42,2015-08-27,13:06:16.894094
288,121.245.77.178,192.168.1.133,262,42,2015-08-27,13:06:16.972514
289,121.245.77.178,192.168.1.133,270,42,2015-08-27,13:06:16.972864
290,121.245.77.178,192.168.1.133,122,42,2015-08-27,13:06:16.978051
291,121.245.77.178,192.168.1.133,229,42,2015-08-27,13:06:17.000298
292,121.245.77.178,192.168.1.133,132,42,2015-08-27,13:06:17.000548
293,121.245.77.178,192.168.1.133,258,42,2015-08-27,13:06:17.007412
294,192.168.1.133,117.194.19.223,1017,42,2015-08-27,13:06:17.013540
295,121.245.77.178,192.168.1.133,252,42,2015-08-27,13:06:17.027777
296,192.168.1.133,123.204.153.59,89,66,2015-08-27,13:06:17.041451
297,121.245.77.178,192.168.1.133,214,42,2015-08-27,13:06:17.168487
298,121.245.77.178,192.168.1.133,308,42,2015-08-27,13:06:17.168969
299,121.245.77.178,192.168.1.133,145,42,2015-08-27,13:06:17.169284
300,91.190.216.212,192.168.1.133,60,49,2015-08-27,13:06:17.201397
301,91.190.218.212,192.168.1.133,60,49,2015-08-27,13:06:17.202007
302,117.194.19.223,192.168.1.133,66,66,2015-08-27,13:06:17.202161
303,121.245.77.178,192.168.1.133,232,42,2015-08-27,13:06:17.214496
304,121.245.77.178,192.168.1.133,222,42,2015-08-27,13:06:17.215506
305,121.245.77.178,192.168.1.133,115,42,2015-08-27,13:06:17.218798
306,121.245.77.178,192.168.1.133,232,42,2015-08-27,13:06:17.222912
307,192.168.1.133,117.194.19.223,1272,42,2015-08-27,13:06:17.223262
308,121.245.77.178,192.168.1.133,121,42,2015-08-27,13:06:17.223744
309,192.168.1.133,117.194.19.223,90,42,2015-08-27,13:06:17.282120
310,121.245.77.178,192.168.1.133,240,42,2015-08-27,13:06:17.297613
311,121.245.77.178,192.168.1.133,168,42,2015-08-27,13:06:17.302953
312,121.245.77.178,192.168.1.133,340,42,2015-08-27,13:06:17.303639
313,121.245.77.178,192.168.1.133,266,42,2015-08-27,13:06:17.329407
314,121.245.77.178,192.168.1.133,213,42,2015-08-27,13:06:17.329721
315,121.245.77.178,192.168.1.133,409,42,2015-08-27,13:06:17.355141
316,121.245.77.178,192.168.1.133,330,42,2015-08-27,13:06:17.360334
317,121.245.77.178,192.168.1.133,158,42,2015-08-27,13:06:17.361617
318,121.245.77.178,192.168.1.133,324,42,2015-08-27,13:06:17.391018
319,121.245.77.178,192.168.1.133,99,66,2015-08-27,13:06:17.394968
320,192.168.1.133,121.245.77.178,66,66,2015-08-27,13:06:17.395114
321,192.168.1.133,117.194.19.223,924,42,2015-08-27,13:06:17.397850
322,121.245.77.178,192.168.1.133,311,42,2015-08-27,13:06:17.488502
323,121.245.77.178,192.168.1.133,144,42,2015-08-27,13:06:17.488763
324,121.245.77.178,192.168.1.133,337,42,2015-08-27,13:06:17.522839
325,117.194.19.223,192.168.1.133,80,66,2015-08-27,13:06:17.531209
326,192.168.1.133,117.194.19.223,66,66,2015-08-27,13:06:17.531372
327,192.168.1.133,117.194.19.223,70,66,2015-08-27,13:06:17.532157
328,121.245.77.178,192.168.1.133,350,42,2015-08-27,13:06:17.534057
329,121.245.77.178,192.168.1.133,177,42,2015-08-27,13:06:17.534446
330,121.245.77.178,192.168.1.133,339,42,2015-08-27,13:06:17.534843
331,121.245.77.178,192.168.1.133,289,42,2015-08-27,13:06:17.542110
332,121.245.77.178,192.168.1.133,137,42,2015-08-27,13:06:17.542209
333,192.168.1.133,117.194.19.223,1327,42,2015-08-27,13:06:17.558452
334,192.168.1.133,117.194.19.223,963,42,2015-08-27,13:06:17.558551
335,121.245.77.178,192.168.1.133,294,66,2015-08-27,13:06:17.570401
336,192.168.1.133,121.245.77.178,66,66,2015-08-27,13:06:17.570515
337,192.168.1.133,117.194.19.223,116,42,2015-08-27,13:06:17.571113
338,121.245.77.178,192.168.1.133,334,42,2015-08-27,13:06:17.665502
339,121.245.77.178,192.168.1.133,150,42,2015-08-27,13:06:17.665805
340,192.168.1.133,117.194.19.223,74,42,2015-08-27,13:06:17.666871
341,121.245.77.178,192.168.1.133,254,42,2015-08-27,13:06:17.682324
342,192.168.1.133,117.194.19.223,74,42,2015-08-27,13:06:17.683958
343,192.168.1.133,117.194.19.223,1361,42,2015-08-27,13:06:17.685432
344,192.168.1.133,117.194.19.223,70,42,2015-08-27,13:06:17.685564
345,121.245.77.178,192.168.1.133,335,42,2015-08-27,13:06:17.693459
346,121.245.77.178,192.168.1.133,127,42,2015-08-27,13:06:17.693920
347,192.168.1.133,117.194.19.223,92,42,2015-08-27,13:06:17.701231
348,121.245.77.178,192.168.1.133,272,42,2015-08-27,13:06:17.705158
349,121.245.77.178,192.168.1.133,258,42,2015-08-27,13:06:17.705284
350,192.168.1.133,117.194.19.223,553,42,2015-08-27,13:06:17.781972
351,121.245.77.178,192.168.1.133,185,42,2015-08-27,13:06:17.817278
352,121.245.77.178,192.168.1.133,289,42,2015-08-27,13:06:17.823570
353,121.245.77.178,192.168.1.133,273,42,2015-08-27,13:06:17.836001
354,192.168.1.133,117.194.19.223,586,42,2015-08-27,13:06:17.882765
355,121.245.77.178,192.168.1.133,153,42,2015-08-27,13:06:17.889607
356,121.245.77.178,192.168.1.133,284,42,2015-08-27,13:06:17.891038
357,121.245.77.178,192.168.1.133,293,42,2015-08-27,13:06:17.891339
358,123.204.153.59,192.168.1.133,66,66,2015-08-27,13:06:17.911236
359,117.194.19.223,192.168.1.133,66,66,2015-08-27,13:06:17.911535
360,121.245.77.178,192.168.1.133,80,66,2015-08-27,13:06:17.940214
361,192.168.1.133,121.245.77.178,66,66,2015-08-27,13:06:17.940777
362,192.168.1.133,121.245.77.178,70,66,2015-08-27,13:06:17.941393
363,121.245.77.178,192.168.1.133,190,42,2015-08-27,13:06:17.952378
364,121.245.77.178,192.168.1.133,310,42,2015-08-27,13:06:17.967765
365,121.245.77.178,192.168.1.133,143,42,2015-08-27,13:06:17.983548
366,192.168.1.133,117.194.19.223,1367,42,2015-08-27,13:06:17.988211
367,192.168.1.133,117.194.19.223,1037,42,2015-08-27,13:06:17.988307
368,121.245.77.178,192.168.1.133,268,42,2015-08-27,13:06:18.001134
369,192.168.1.133,117.194.19.223,738,42,2015-08-27,13:06:18.075213
