number,src,dst,size,clean_size,date,time
1,121.245.77.178,192.168.1.133,183,42,2015-08-27,13:06:13.581250
2,121.245.77.178,192.168.1.133,385,42,2015-08-27,13:06:13.581445
3,121.245.77.178,192.168.1.133,349,42,2015-08-27,13:06:13.581564
4,121.245.77.178,192.168.1.133,143,42,2015-08-27,13:06:13.581664
5,121.245.77.178,192.168.1.133,254,42,2015-08-27,13:06:13.581756
6,121.245.77.178,192.168.1.133,296,66,2015-08-27,13:06:13.581847
7,121.245.77.178,192.168.1.133,346,42,2015-08-27,13:06:13.581978
8,121.245.77.178,192.168.1.133,66,66,2015-08-27,13:06:13.582068
9,192.168.1.133,121.245.77.178,89,66,2015-08-27,13:06:13.582283
10,121.245.77.178,192.168.1.133,167,42,2015-08-27,13:06:13.582361
11,121.245.77.178,192.168.1.133,272,42,2015-08-27,13:06:13.582453
12,121.245.77.178,192.168.1.133,141,42,2015-08-27,13:06:13.582542
13,121.245.77.178,192.168.1.133,160,42,2015-08-27,13:06:13.582637
14,121.245.77.178,192.168.1.133,269,42,2015-08-27,13:06:13.582730
15,121.245.77.178,192.168.1.133,252,42,2015-08-27,13:06:13.582818
16,121.245.77.178,192.168.1.133,189,42,2015-08-27,13:06:13.582906
17,121.245.77.178,192.168.1.133,295,42,2015-08-27,13:06:13.582997
18,121.245.77.178,192.168.1.133,152,42,2015-08-27,13:06:13.583084
19,121.245.77.178,192.168.1.133,295,42,2015-08-27,13:06:13.583170
20,121.245.77.178,192.168.1.133,225,42,2015-08-27,13:06:13.583256
21,121.245.77.178,192.168.1.133,327,42,2015-08-27,13:06:13.583342
22,121.245.77.178,192.168.1.133,179,42,2015-08-27,13:06:13.583429
23,121.245.77.178,192.168.1.133,332,42,2015-08-27,13:06:13.583514
24,121.245.77.178,192.168.1.133,138,42,2015-08-27,13:06:13.583600
25,121.245.77.178,192.168.1.133,284,42,2015-08-27,13:06:13.583685
26,121.245.77.178,192.168.1.133,269,42,2015-08-27,13:06:13.583771
27,121.245.77.178,192.168.1.133,266,42,2015-08-27,13:06:13.583857
28,192.168.1.133,117.194.19.223,81,42,2015-08-27,13:06:13.595378
29,192.168.1.133,117.194.19.223,97,42,2015-08-27,13:06:13.702171
30,192.168.1.133,117.194.19.223,118,42,2015-08-27,13:06:13.706308
31,121.245.77.178,192.168.1.133,367,42,2015-08-27,13:06:13.961333
32,121.245.77.178,192.168.1.133,181,42,2015-08-27,13:06:13.962163
33,121.245.77.178,192.168.1.133,284,42,2015-08-27,13:06:13.962272
34,121.245.77.178,192.168.1.133,122,42,2015-08-27,13:06:13.962348
35,121.245.77.178,192.168.1.133,268,42,2015-08-27,13:06:13.962421
36,121.245.77.178,192.168.1.133,296,42,2015-08-27,13:06:13.962489
37,121.245.77.178,192.168.1.133,178,42,2015-08-27,13:06:13.962738
38,121.245.77.178,192.168.1.133,330,42,2015-08-27,13:06:13.962828
39,121.245.77.178,192.168.1.133,396,42,2015-08-27,13:06:13.962901
40,121.245.77.178,192.168.1.133,143,42,2015-08-27,13:06:13.963104
41,121.245.77.178,192.168.1.133,446,66,2015-08-27,13:06:13.963190
42,121.245.77.178,192.168.1.133,282,42,2015-08-27,13:06:13.963762
43,121.245.77.178,192.168.1.133,267,42,2015-08-27,13:06:13.963853
44,121.245.77.178,192.168.1.133,184,42,2015-08-27,13:06:13.963922
45,121.245.77.178,192.168.1.133,308,42,2015-08-27,13:06:13.963990
46,121.245.77.178,192.168.1.133,193,42,2015-08-27,13:06:13.964074
47,121.245.77.178,192.168.1.133,341,42,2015-08-27,13:06:13.964139
48,121.245.77.178,192.168.1.133,320,42,2015-08-27,13:06:13.964223
49,121.245.77.178,192.168.1.133,175,42,2015-08-27,13:06:13.964347
50,121.245.77.178,192.168.1.133,333,42,2015-08-27,13:06:13.964431
51,121.245.77.178,192.168.1.133,320,42,2015-08-27,13:06:13.964502
52,121.245.77.178,192.168.1.133,159,42,2015-08-27,13:06:13.964567
53,192.168.1.133,117.194.19.223,62,42,2015-08-27,13:06:13.972343
54,192.168.1.133,117.194.19.223,85,42,2015-08-27,13:06:13.973041
55,192.168.1.133,117.194.19.223,79,42,2015-08-27,13:06:13.973456
56,192.168.1.133,117.194.19.223,101,42,2015-08-27,13:06:13.973991
57,192.168.1.133,117.194.19.223,68,42,2015-08-27,13:06:13.974853
58,192.168.1.133,121.245.77.178,66,66,2015-08-27,13:06:14.001240
59,117.194.19.223,192.168.1.133,66,66,2015-08-27,13:06:14.091129
60,59.115.53.47,192.168.1.133,66,66,2015-08-27,13:06:14.091265
61,114.183.172.168,192.168.1.133,66,66,2015-08-27,13:06:14.091316
62,123.204.153.59,192.168.1.133,66,66,2015-08-27,13:06:14.091362
63,192.168.1.133,117.194.19.223,100,42,2015-08-27,13:06:14.122344
64,192.168.1.133,117.194.19.223,89,42,2015-08-27,13:06:14.142986
65,192.168.1.133,117.194.19.223,86,42,2015-08-27,13:06:14.162290
66,192.168.1.133,117.194.19.223,93,42,2015-08-27,13:06:14.182343
67,192.168.1.133,117.194.19.223,92,42,2015-08-27,13:06:14.201737
68,192.168.1.133,117.194.19.223,88,42,2015-08-27,13:06:14.222372
69,121.245.77.178,192.168.1.133,306,42,2015-08-27,13:06:14.261333
70,121.245.77.178,192.168.1.133,107,42,2015-08-27,13:06:14.261657
71,121.245.77.178,192.168.1.133,252,42,2015-08-27,13:06:14.261791
72,121.245.77.178,192.168.1.133,312,42,2015-08-27,13:06:14.261888
73,121.245.77.178,192.168.1.133,110,42,2015-08-27,13:06:14.261987
74,121.245.77.178,192.168.1.133,296,42,2015-08-27,13:06:14.262087
75,121.245.77.178,192.168.1.133,158,42,2015-08-27,13:06:14.262176
