,size,times
601,116,2490.0
602,93,14747.0
603,338,14768.0
604,1090,4607.0
607,99,6218.0
608,95,20347.0
609,101,20782.0
612,102,5915.0
613,102,21336.0
614,639,15682.0
615,97,3009.0
616,100,19960.0
618,66,129.0
621,96,8009.0
622,101,22160.0
623,98,21368.0
626,104,6288.0
627,621,13429.0
628,103,5566.0
629,102,19799.0
631,66,195.0
633,96,8362.0
634,100,20589.0
635,98,19324.0
636,634,5547.0
639,74,12.0
640,97,3448.0
641,101,19940.0
642,97,20152.0
643,107,20047.0
645,504,4760.0
646,1057,1923.0
647,111,20383.0
648,96,21987.0
651,99,9745.0
652,99,18749.0
653,284,1507.0
654,828,18070.0
656,97,7620.0
657,96,21766.0
658,90,20582.0
659,233,5229.0
662,99,3333.0
663,93,19824.0
664,94,21030.0
665,96,20664.0
667,93,8802.0
668,546,6986.0
669,93,12836.0
670,98,22118.0
671,97,17868.0
672,96,19842.0
673,95,20298.0
674,647,9022.0
675,100,10449.0
676,95,21232.0
677,94,19992.0
678,89,10021.0
679,93,9025.0
680,98,22915.0
681,665,9346.0
682,714,7772.0
683,97,19928.0
684,96,19920.0
685,97,22534.0
686,117,9627.0
687,92,10574.0
689,66,715.0
692,97,3051.0
693,95,19209.0
694,552,406.0
695,606,17071.0
696,96,19920.0
706,108,6913.0
707,101,21487.0
708,100,20172.0
710,100,3825.0
711,618,7063.0
712,99,10815.0
713,93,19835.0
714,99,20359.0
716,66,299.0
719,95,11176.0
720,95,19296.0
721,643,8820.0
722,94,8478.0
724,97,6957.0
725,94,20038.0
726,100,23068.0
728,94,8596.0
729,890,6284.0
730,92,12447.0
731,93,19969.0
734,82,2105.0
735,96,8037.0
736,97,20855.0
737,96,19955.0
738,742,2932.0
740,798,7437.0
741,96,20100.0
742,99,20072.0
743,98,20520.0
747,495,3412.0
748,723,13370.0
749,96,19827.0
750,97,19490.0
751,342,10372.0
754,93,6679.0
755,101,20834.0
756,96,19595.0
758,94,8230.0
759,94,17480.0
760,456,2586.0
761,99,17329.0
763,66,395.0
766,98,5771.0
767,93,20038.0
768,105,20044.0
770,99,4551.0
772,66,391.0
773,70,189.0
774,94,16106.0
775,441,12555.0
776,103,7164.0
777,94,20121.0
781,99,4668.0
782,96,20181.0
783,66,10690.0
784,101,9183.0
786,105,9305.0
787,106,19862.0
788,97,20537.0
791,107,8536.0
792,328,13889.0
793,949,4048.0
794,96,19766.0
796,100,8771.0
798,99,2991.0
799,99,19001.0
802,104,6028.0
803,101,20883.0
804,103,19893.0
806,101,6804.0
807,101,19882.0
808,352,4540.0
809,805,14529.0
811,66,219.0
812,102,1005.0
815,103,18292.0
816,107,21622.0
817,101,20633.0
819,102,5249.0
820,317,4277.0
821,106,15589.0
822,100,20602.0
825,82,2024.0
826,95,9339.0
827,104,17756.0
828,99,20772.0
829,99,20155.0
831,597,9957.0
832,97,4459.0
833,95,21648.0
836,101,5329.0
837,104,20539.0
838,107,20426.0
839,118,5738.0
840,105,14534.0
844,100,6311.0
845,100,19958.0
846,104,20330.0
