cnt,times
1,115.0
1,1115.0
9,17561.0
8,247.0
1,162.0
1,19351.0
4,8926.0
2,8934.0
2,4649.0
5,2654.0
3,8346.0
2,4541.0
4,4529.0
3,12365.0
1,222.0
2,8101.0
3,7668.0
3,8253.0
2,8603.0
1,138.0
3,227.0
2,483.0
1,19809.0
1,131.0
3,5834.0
3,4741.0
4,6476.0
2,2613.0
4,9387.0
2,9059.0
3,4537.0
5,8943.0
2,6987.0
2,8500.0
3,5173.0
1,149.0
3,5361.0
3,3523.0
3,3153.0
3,5870.0
1,129.0
4,7247.0
2,8635.0
3,3555.0
1,3158.0
2,3093.0
3,9498.0
3,3831.0
4,4214.0
4,8544.0
1,654.0
3,131.0
2,8514.0
3,5854.0
3,6054.0
3,1787.0
1,165.0
3,6242.0
2,6644.0
1,348.0
3,7891.0
3,3396.0
2,5048.0
3,11763.0
3,6687.0
3,7462.0
3,9916.0
2,9825.0
3,8087.0
3,4619.0
4,6943.0
3,6253.0
3,5821.0
3,8848.0
1,320.0
3,7777.0
1,6295.0
1,332.0
3,8545.0
3,3533.0
3,3905.0
3,7782.0
3,2987.0
3,6002.0
3,6521.0
3,4403.0
3,21520.0
3,10040.0
2,6105.0
3,5028.0
1,395.0
3,9710.0
3,2679.0
1,145.0
14,2595.0
1,424.0
4,183.0
17,19815.0
1,847.0
8,90.0
4,1132.0
1,176.0
2,4631.0
1,346.0
4,8981.0
3,7233.0
3,2334.0
6,15103.0
1,172.0
13,10360.0
4,11555.0
3,2931.0
3,4928.0
2,8969.0
1,116.0
3,5541.0
3,2057.0
3,7354.0
3,9625.0
14,8903.0
1,143.0
5,14763.0
3,5795.0
3,2541.0
3,8350.0
3,7419.0
3,5125.0
1,181.0
3,1251.0
2,1115.0
1,1258.0
1,223.0
15,78.0
1,151.0
25,3617.0
8,269.0
4,177.0
2,7175.0
3,7804.0
4,9559.0
3,5158.0
2,4816.0
4,4926.0
3,5919.0
3,6161.0
4,9012.0
1,148.0
3,6568.0
6,250.0
6,768.0
4,112.0
14,1287.0
1,155.0
2,354.0
13,19022.0
1,298.0
8,1713.0
5,149.0
1,126.0
4,11841.0
12,15956.0
1,350.0
9,11073.0
8,9895.0
1,4196.0
3,11862.0
4,2274.0
2,7179.0
1,154.0
3,6913.0
2,846.0
3,5300.0
3,7054.0
4,5103.0
4,6238.0
13,16321.0
5,317.0
5,60.0
14,416.0
1,756.0
1,7911.0
30,81.0
6,12996.0
3,6983.0
2,215.0
1,6769.0
1,585.0
2,5893.0
1,428.0
5,65.0
