cnt,times
5,13008.0
3,12896.0
6,9652.0
3,10531.0
3,12885.0
5,12854.0
3,12022.0
5,2104.0
3,11553.0
3,13920.0
1,2036.0
4,8230.0
4,15889.0
5,14158.0
5,6874.0
1,2623.0
3,12813.0
3,15902.0
4,20013.0
1,348.0
4,12565.0
4,15805.0
4,12463.0
5,12047.0
3,9463.0
1,511.0
5,12668.0
4,6200.0
3,10887.0
5,12645.0
4,424.0
1,12131.0
4,13082.0
3,6955.0
1,2400.0
4,12875.0
4,13669.0
5,7923.0
3,12383.0
3,12352.0
3,12468.0
3,9762.0
4,11730.0
3,13991.0
4,10803.0
3,13281.0
4,13954.0
3,10888.0
3,9670.0
1,2145.0
5,1749.0
3,9300.0
1,2521.0
3,15061.0
3,12530.0
5,11707.0
3,16908.0
4,10066.0
4,5335.0
3,14555.0
5,712.0
3,9894.0
4,13642.0
3,9713.0
5,7546.0
1,2038.0
4,9733.0
20,2421.0
1,429.0
20,16451.0
14,14663.0
1,1.0
7,19052.0
1,370.0
1,9453.0
3,11695.0
1,3106.0
4,6702.0
1,1900.0
4,12387.0
3,16139.0
21,3023.0
7,4343.0
1,3262.0
5,2688.0
3,12707.0
4,17451.0
4,10012.0
3,12004.0
1,2288.0
3,14936.0
5,8611.0
4,12400.0
19,3708.0
3,2168.0
1,2255.0
4,13954.0
3,12386.0
5,10771.0
5,11719.0
3,11124.0
5,12001.0
1,2463.0
5,18339.0
11,14890.0
5,7915.0
23,8269.0
21,8385.0
1,51.0
9,7276.0
1,231.0
4,12948.0
3,13028.0
5,10338.0
3,12925.0
3,12743.0
4,16735.0
4,12420.0
4,13705.0
4,11009.0
4,2787.0
1,2882.0
20,10950.0
1,94.0
23,8406.0
1,38.0
23,7731.0
1,33.0
1,191.0
10,16600.0
1,76.0
19,8660.0
7,5559.0
1,306.0
3,3071.0
4,15459.0
18,9177.0
4,8931.0
2,15992.0
1,6698.0
4,9030.0
5,13596.0
4,9866.0
1,3917.0
3,11201.0
4,17522.0
5,12573.0
3,13904.0
4,12809.0
19,2209.0
70,20659.0
1,121.0
1,42.0
2,7051.0
1,710.0
5,2420.0
5,6625.0
3,12717.0
3,10510.0
1,1156.0
3,10200.0
1,2141.0
30,8248.0
1,286.0
1,47.0
21,7994.0
24,10858.0
1,91.0
3,19549.0
29,12330.0
1,45.0
3,15108.0
1,6581.0
4,13782.0
3,9622.0
20,701.0
1,2576.0
6,3743.0
3,11647.0
1,2784.0
4,12330.0
4,10471.0
1,2766.0
3,16140.0
2,1493.0
4,12353.0
4,7575.0
3,8986.0
4,11767.0
3,14406.0
5,11827.0
3,18774.0
5,9956.0
4,5194.0
5,14269.0
4,13092.0
5,7607.0
4,6829.0
1,11583.0
2,13593.0
4,12368.0
4,13718.0
5,6971.0
1,2529.0
5,11717.0
3,7382.0
4,9917.0
4,2870.0
4,14847.0
4,6172.0
6,14428.0
5,13492.0
3,8916.0
4,18433.0
5,9359.0
4,9021.0
1,1729.0
5,12477.0
1,17335.0
5,11562.0
1,191.0
3,12556.0
4,3367.0
1,56.0
4,2513.0
3,19415.0
1,547.0
2,18894.0
4,16635.0
5,1020.0
4,15183.0
3,6252.0
5,13429.0
4,160.0
3,15029.0
2,10008.0
2,18932.0
1,56.0
3,12603.0
5,12558.0
1,2632.0
3,11218.0
5,7276.0
3,15871.0
4,13775.0
6,11896.0
1,284.0
4,12727.0
3,13139.0
1,187.0
5,12752.0
3,10524.0
4,17984.0
3,14595.0
2,11427.0
2,12083.0
3,11382.0
4,12821.0
3,12546.0
4,1061.0
3,8226.0
3,11670.0
5,1220.0
4,16180.0
1,49.0
1,19.0
3,10599.0
4,2308.0
4,12654.0
1,2983.0
1,1648.0
5,2283.0
3,16124.0
1,1625.0
2,11135.0
5,9651.0
3,3044.0
3,11714.0
1,3106.0
6,2496.0
3,7470.0
4,16664.0
3,12865.0
4,15377.0
1,3066.0
3,10657.0
4,19037.0
3,12340.0
1,2914.0
4,17300.0
5,3431.0
1,91.0
21,4590.0
6,18223.0
2,1760.0
2,18917.0
1,44.0
4,1560.0
3,12439.0
3,11575.0
4,12169.0
3,14243.0
4,15754.0
3,5246.0
3,11405.0
2,8648.0
4,13777.0
4,5110.0
4,6287.0
4,16475.0
5,4278.0
1,7711.0
1,6173.0
4,3941.0
5,312.0
4,24.0
3,16600.0
5,2887.0
3,13460.0
4,12488.0
4,12069.0
3,13612.0
5,10004.0
1,1749.0
5,222.0
4,10693.0
1,4464.0
1,549.0
3,20233.0
1,15.0
5,1779.0
1,56.0
3,13866.0
3,18407.0
5,3841.0
5,13519.0
3,11088.0
19,3410.0
3,3003.0
2,941.0
3,14543.0
3,14839.0
2,2869.0
4,8890.0
1,2872.0
4,12293.0
20,3425.0
3,2386.0
3,17637.0
3,14637.0
4,17481.0
1,13430.0
2,2268.0
3,10021.0
3,10271.0
5,15440.0
3,15819.0
4,860.0
7,19583.0
1,19126.0
4,11870.0
3,12529.0
1,3486.0
5,12745.0
3,15772.0
5,19367.0
3,10756.0
3,11552.0
4,13659.0
5,9819.0
3,17797.0
6,12079.0
3,18349.0
20,18609.0
2,1836.0
2,16834.0
2,2214.0
5,1374.0
1,3026.0
3,9526.0
3,15805.0
3,14725.0
5,14219.0
3,18948.0
5,11139.0
1,371.0
4,11960.0
4,12602.0
4,4026.0
4,11942.0
3,13490.0
1,2701.0
4,15280.0
4,16091.0
1,9265.0
1,2551.0
3,9896.0
3,9824.0
2,715.0
3,12093.0
3,13612.0
4,9770.0
3,13410.0
4,14823.0
1,58.0
5,14128.0
5,14137.0
4,12357.0
4,7560.0
4,13287.0
3,9916.0
4,9002.0
4,11734.0
3,12266.0
4,10502.0
4,10355.0
1,2650.0
3,13557.0
3,15431.0
4,9166.0
1,2982.0
4,14049.0
4,104.0
4,11675.0
3,9953.0
4,13460.0
4,15076.0
3,12043.0
4,7737.0
1,2575.0
5,13936.0
3,13209.0
5,12629.0
3,10843.0
4,9841.0
4,15908.0
3,9431.0
1,4761.0
4,15774.0
1,1357.0
3,15783.0
5,10728.0
3,11581.0
3,10992.0
5,16231.0
3,14819.0
5,9919.0
1,2800.0
3,13561.0
4,11919.0
4,14593.0
3,11793.0
3,11080.0
4,12927.0
3,13160.0
5,10662.0
1,2505.0
3,14099.0
2,3414.0
4,13422.0
1,13368.0
4,4461.0
3,19724.0
2,9843.0
5,11862.0
19,16054.0
2,2191.0
3,377.0
4,11087.0
3,12234.0
4,9786.0
3,16218.0
4,13468.0
4,14855.0
48,20416.0
3,15599.0
1,2218.0
2,262.0
1,33.0
2,17518.0
1,3928.0
4,15729.0
3,19515.0
4,1434.0
4,12736.0
5,17884.0
4,2624.0
1,2598.0
3,12140.0
5,2889.0
2,13729.0
3,10539.0
1,2436.0
4,1104.0
3,11808.0
3,10534.0
3,9804.0
4,13544.0
4,722.0
4,3386.0
2,8063.0
3,13036.0
4,11719.0
4,4549.0
4,7558.0
20,19628.0
1,166.0
3,18596.0
5,15494.0
4,14713.0
4,12761.0
3,12105.0
4,4240.0
4,11638.0
4,6763.0
3,11786.0
3,17638.0
6,16590.0
1,2554.0
3,10207.0
1,5117.0
3,8331.0
4,14206.0
3,12549.0
4,11436.0
4,14967.0
4,11260.0
4,13079.0
3,12608.0
5,11921.0
4,11943.0
3,9204.0
5,12027.0
3,11492.0
4,9529.0
1,2769.0
5,13916.0
3,15584.0
1,4646.0
3,4686.0
4,11924.0
19,1170.0
3,14812.0
4,22253.0
1,215.0
3,13043.0
3,16300.0
4,15627.0
5,16341.0
1,29.0
3,9241.0
1,2485.0
4,13546.0
3,9046.0
1,2820.0
5,12652.0
3,15083.0
5,12399.0
4,11403.0
3,12653.0
4,12140.0
3,9356.0
3,9712.0
4,12447.0
4,15149.0
3,11996.0
20,607.0
1,2381.0
4,351.0
5,9524.0
3,15736.0
3,14489.0
5,13608.0
3,11954.0
4,13252.0
4,12578.0
4,11649.0
3,11998.0
4,12939.0
3,14390.0
1,372.0
6,11832.0
1,2482.0
4,2894.0
1,2518.0
4,17055.0
1,236.0
3,14939.0
4,7953.0
1,2496.0
4,11891.0
4,13860.0
3,15125.0
4,8938.0
1,2583.0
1,624.0
4,2492.0
2,8805.0
3,12023.0
5,12310.0
3,15349.0
3,4317.0
1,11504.0
6,12556.0
4,13486.0
5,14458.0
3,10777.0
1,2832.0
4,5946.0
1,3025.0
4,14409.0
3,13355.0
4,16394.0
5,12584.0
4,249.0
4,10930.0
3,11779.0
3,9965.0
